profile,controller,max_temperature_C,final_temperature_C,mean_abs_temp_error_C,rms_temp_error_C,time_above_safe_s,total_cooling_effort,mean_cooling_action,action_variation,total_reward,failed,episode_time_s
Constant,No cooling,53.201562083097805,53.201562083097805,7.89253371314338,9.383427831812776,571.0,0.0,0.0,0.0,-2050.4697392385146,False,1800.0
Constant,Constant cooling u=0.50,37.213802910805825,37.213802910805825,2.8190736740782785,3.6842972866202146,0.0,900.0,0.5,0.0,-257.8528369315475,False,1800.0
Constant,Constant cooling u=1.00,32.7163746762019,31.66152222248293,4.188846031494727,4.545078816678285,0.0,1800.0,1.0,0.0,-425.91934609671915,False,1800.0
Constant,Bang-bang thermostat,36.01169163116156,34.04974211310179,1.9417404178265594,3.297693580953678,0.0,899.0,0.49944444444444447,5.0,-223.11609316953513,False,1800.0
Constant,Proportional controller,39.2140636826738,38.93239095187074,3.7390393024941133,4.284356261724707,0.0,495.08765040768776,0.2750486946709376,0.5183792412281036,-336.6476341320126,False,1800.0
Constant,PI controller tuned,36.19208169470087,35.14765470921551,1.8654051448615472,3.288100242054296,0.0,820.4397981667425,0.45579988787041253,1.3755394220352173,-212.56146540608435,False,1800.0
Step,No cooling,60.00259125998256,60.00259125998256,10.085555592166799,12.101302591118637,625.0,0.0,0.0,0.0,-4314.504528990464,True,1708.0
Step,Constant cooling u=0.50,43.09134613320685,43.09134613320685,5.358835447948648,5.95479281406211,0.0,900.0,0.5,0.0,-651.7920342513039,False,1800.0
Step,Constant cooling u=1.00,36.089284098478394,35.58087373996882,3.474148613833403,4.623524604638083,0.0,1800.0,1.0,0.0,-438.865635854487,False,1800.0
Step,Bang-bang thermostat,37.18927464518175,35.95503005108356,3.2188741086208186,4.301428647569314,0.0,1068.0,0.5933333333333334,1.0,-365.16119138234075,False,1800.0
Step,Proportional controller,41.53694516772835,41.249638236937315,5.509843246747668,5.938868539338513,0.0,624.6093556548003,0.3470051975860002,0.7102216482162476,-645.9664941304544,False,1800.0
Step,PI controller tuned,37.4687376445261,36.27369291357686,3.4471200632617487,4.383048759037156,0.0,1023.4796143998683,0.5685997857777046,1.0772621035575867,-375.7628072222839,False,1800.0
Pulsed,No cooling,52.04344869697964,52.04344869697964,7.345329741089891,8.728330612411243,503.0,0.0,0.0,0.0,-1668.6118105591136,False,1800.0
Pulsed,Constant cooling u=0.50,36.85176560799683,36.66209799286055,2.6402751685631105,3.5506031452144198,0.0,900.0,0.5,0.0,-240.44208850651762,False,1800.0
Pulsed,Constant cooling u=1.00,32.761501395186684,31.3807479529708,4.418060667606535,4.689416491206906,0.0,1800.0,1.0,0.0,-449.9112865040597,False,1800.0
Pulsed,Bang-bang thermostat,36.0840621067194,35.649662839899825,1.9294752565584192,3.192684617647278,0.0,783.0,0.435,6.0,-207.44823121970785,False,1800.0
Pulsed,Proportional controller,39.35640933019754,38.80390174016972,3.517394122772547,4.062630713585031,0.0,468.0588399329572,0.2600326888516429,1.1192534863948822,-302.7061035209765,False,1800.0
Pulsed,PI controller tuned,36.636393177841455,35.35374998676156,1.813351896631927,3.1778368425963963,0.0,766.4198503831867,0.4257888057684371,3.2903850078582764,-197.92301359905505,False,1800.0
Random,No cooling,51.31482732130329,51.31482732130329,7.191461905514713,8.48118154971224,479.0,0.0,0.0,0.0,-1528.091060087385,False,1800.0
Random,Constant cooling u=0.50,36.36394785173462,36.36394785173462,2.781544733962216,3.7710058676788605,0.0,900.0,0.5,0.0,-269.48873457323157,False,1800.0
Random,Constant cooling u=1.00,32.30626621134829,31.149633904678065,4.563078344697575,4.860258310024881,0.0,1800.0,1.0,0.0,-479.27799512298526,False,1800.0
Random,Bang-bang thermostat,36.00525069146967,34.72577358777929,2.0798867306454514,3.451697811637678,0.0,782.0,0.43444444444444447,6.0,-238.39592009155848,False,1800.0
Random,Proportional controller,38.88405531202282,38.58002551795347,3.6264411898624904,4.232267608530429,0.0,451.41856648086105,0.25078809248936723,0.4975883662700653,-327.7849598911905,False,1800.0
Random,PI controller tuned,36.143291303251225,35.15704748521437,1.9710019420454719,3.4381879665532655,0.0,746.0353401511675,0.4144640778617597,1.3934541940689087,-228.42851367541996,False,1800.0
