kp,ki,bias,integral_limit,mean_total_reward,worst_max_temperature_C,mean_abs_temp_error_C,mean_rms_temp_error_C,total_time_above_safe_s,mean_total_cooling_effort,mean_action_variation,any_failure
0.2,0.006,0.25,75.0,-253.66894997571083,37.4687376445261,2.2742197617001736,3.5717934525602786,0.0,839.0936507752413,1.7841601818799973,False
0.2,0.006,0.2,75.0,-254.56601293456737,37.50818527619136,2.3231798363377267,3.581593659886523,0.0,830.4090391586942,1.7237870544195175,False
0.16,0.006,0.25,75.0,-254.67007825957916,37.536853666121026,2.307341118025836,3.580546751240802,0.0,832.7546437590208,1.6699341237545013,False
0.2,0.004,0.25,100.0,-255.49869845682363,37.55119782730794,2.3515213281288503,3.5888583395976967,0.0,829.3841316391481,1.6236425042152405,False
0.2,0.006,0.25,100.0,-255.63589901189303,37.5414677082764,2.2568605399030726,3.5773304172023868,0.0,853.2698522183346,2.0099688917398453,False
0.2,0.006,0.2,100.0,-255.9554253698934,37.56568465198247,2.2741476690881735,3.5810333138105075,0.0,848.5603846895829,1.9709387421607971,False
0.2,0.006,0.15,75.0,-256.06133591725273,37.58316601754695,2.390849284052093,3.5967549183363072,0.0,817.9082801515178,1.6794679313898087,False
0.2,0.006,0.15,100.0,-256.28983789300213,37.58974052695608,2.303352540924478,3.586165099723018,0.0,841.1293786921306,1.888538733124733,False
0.16,0.006,0.2,75.0,-256.32700245667075,37.631414737978055,2.372795298453363,3.5963188305895923,0.0,822.0576216146437,1.5733410865068436,False
0.16,0.006,0.25,100.0,-256.3309352765935,37.57835836141144,2.270192316037698,3.581974689773768,0.0,851.8878045831807,1.9014642983675003,False
0.2,0.004,0.25,75.0,-256.6427630597546,37.65271321819723,2.448286000378694,3.6080268303432046,0.0,802.8530769186036,1.523577943444252,False
0.16,0.006,0.2,100.0,-256.64834327039824,37.603887726860634,2.294746802161059,3.586485121697368,0.0,845.0949853497441,1.865148663520813,False
0.12,0.006,0.25,75.0,-256.84632683663045,37.71020066433343,2.36268868695703,3.5982341950171515,0.0,822.5957479860517,1.519169420003891,False
0.2,0.006,0.1,100.0,-256.86041773824394,37.613885312956356,2.3411131627516966,3.5934902500749937,0.0,833.0311945899157,1.8095542639493942,False
0.2,0.004,0.2,100.0,-256.92238739776917,37.60670993659995,2.415144183225993,3.603528509738819,0.0,816.6737739822202,1.596771389245987,False
0.16,0.006,0.15,100.0,-257.0888351904263,37.62938610541775,2.330125785931437,3.5930869539355434,0.0,836.0423541818745,1.7628911286592484,False
0.12,0.006,0.25,100.0,-257.1216436450039,37.61937089769077,2.2877359867310485,3.587526052325036,0.0,849.6992738949057,1.8043121695518494,False
0.16,0.004,0.25,100.0,-257.27318955207346,37.656285813495806,2.4010976525016363,3.603651985920231,0.0,821.2574613923935,1.4939230531454086,False
0.12,0.006,0.2,100.0,-257.4905702945106,37.64641494401139,2.322385484666741,3.5936162542923302,0.0,839.7344734537619,1.7519269585609436,False
0.1,0.006,0.25,100.0,-257.55934582118437,37.641649665408906,2.300988188093213,3.590983083220831,0.0,847.4184918371175,1.773084580898285,False
0.2,0.006,0.05,100.0,-257.7418658214475,37.63795678395431,2.388081337369611,3.6033422629739578,0.0,824.8722493526293,1.7441567480564117,False
0.2,0.006,0.25,40.0,-257.83257442704087,37.75219909728519,2.511619716614009,3.6242239928504145,0.0,783.8639664421789,1.5280549675226212,False
